2026-05-21 12:00:45 | INFO     | Logger works
2026-05-21 12:00:45 | ERROR    | Error test
2026-05-21 12:01:21 | ERROR    | Validation error: Price is required and must be positive for LIMIT orders
2026-05-21 12:01:21 | INFO     | Validation passed: BTCUSDT BUY MARKET qty=0.01 price=None
2026-05-21 12:01:57 | INFO     | BinanceClient initialized successfully
2026-05-21 12:06:05 | INFO     | Validation passed: BTCUSDT BUY MARKET qty=0.01 price=None
2026-05-21 12:06:05 | INFO     | BinanceClient initialized successfully
2026-05-21 12:06:05 | INFO     | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-05-21 12:06:05 | DEBUG    | POST https://testnet.binancefuture.com/fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1779345365187, 'signature': 'fcc39337b58aaaa95ec7563f1620ab8b1325044cf9b3d48bc6c5b993ddcef5f0'}
2026-05-21 12:06:05 | DEBUG    | Response: {'orderId': 13171211025, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'A3sTlKQhouccPy0WKiy7DG', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1779345365733}
2026-05-21 12:06:05 | INFO     | Order placed successfully. orderId=13171211025, status=NEW
2026-05-21 12:09:14 | INFO     | Validation passed: BTCUSDT SELL LIMIT qty=0.01 price=5000.0
2026-05-21 12:09:14 | INFO     | BinanceClient initialized successfully
2026-05-21 12:09:14 | INFO     | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 5000.0, 'timeInForce': 'GTC'}
2026-05-21 12:09:14 | DEBUG    | POST https://testnet.binancefuture.com/fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 5000.0, 'timeInForce': 'GTC', 'timestamp': 1779345554388, 'signature': '5a18da94eb1b4a31f749096090d38edbccd3fab565690947b1b1fc3ad6ec0f82'}
2026-05-21 12:09:14 | DEBUG    | Response: {'code': -4024, 'msg': "Limit price can't be lower than 73825.19."}
2026-05-21 12:09:14 | ERROR    | API error: {'code': -4024, 'msg': "Limit price can't be lower than 73825.19."}
2026-05-21 12:09:14 | ERROR    | Order failed: API Error -4024: Limit price can't be lower than 73825.19.
2026-05-21 12:09:45 | INFO     | Validation passed: BTCUSDT SELL LIMIT qty=0.01 price=50000.0
2026-05-21 12:09:45 | INFO     | BinanceClient initialized successfully
2026-05-21 12:09:45 | INFO     | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 50000.0, 'timeInForce': 'GTC'}
2026-05-21 12:09:45 | DEBUG    | POST https://testnet.binancefuture.com/fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 50000.0, 'timeInForce': 'GTC', 'timestamp': 1779345585040, 'signature': '1e4fddd7ee1ee1ea8716934e633dff9f9384207a39e0cc53261b236ca451b392'}
2026-05-21 12:09:45 | DEBUG    | Response: {'code': -4024, 'msg': "Limit price can't be lower than 73818.32."}
2026-05-21 12:09:45 | ERROR    | API error: {'code': -4024, 'msg': "Limit price can't be lower than 73818.32."}
2026-05-21 12:09:45 | ERROR    | Order failed: API Error -4024: Limit price can't be lower than 73818.32.
2026-05-21 12:10:34 | INFO     | Validation passed: BTCUSDT SELL LIMIT qty=0.01 price=75000.0
2026-05-21 12:10:34 | INFO     | BinanceClient initialized successfully
2026-05-21 12:10:34 | INFO     | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 75000.0, 'timeInForce': 'GTC'}
2026-05-21 12:10:34 | DEBUG    | POST https://testnet.binancefuture.com/fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 75000.0, 'timeInForce': 'GTC', 'timestamp': 1779345634215, 'signature': 'e10b4bf98cb877e85d6cccaa927ea871c229d2202be82c72e8a15776efa2b487'}
2026-05-21 12:10:34 | DEBUG    | Response: {'orderId': 13171221401, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': '27boctjOKKMSkEkVwfI3c7', 'price': '75000.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1779345634729}
2026-05-21 12:10:34 | INFO     | Order placed successfully. orderId=13171221401, status=NEW
2026-05-21 12:12:06 | ERROR    | Validation error: Price is required and must be positive for LIMIT orders
2026-05-21 12:12:06 | ERROR    | Order failed: Price is required and must be positive for LIMIT orders
